Image ID,LST_Day_1km
2_2009_12_15,
2_2009_12_16,31.97
2_2009_12_17,
2_2009_12_18,
2_2009_12_19,
2_2009_12_20,
2_2009_12_21,28.33
2_2009_12_22,25.45
2_2009_12_23,28.09
2_2009_12_24,
2_2009_12_25,23.51
2_2009_12_26,
2_2009_12_27,26.89
2_2009_12_28,28.07
2_2009_12_29,26.01
2_2009_12_30,
2_2009_12_31,
2_2010_01_01,27.33
2_2010_01_02,
2_2010_01_03,27.55
2_2010_01_04,
2_2010_01_05,26.89
2_2010_01_06,25.85
2_2010_01_07,26.69
2_2010_01_08,30.19
2_2010_01_09,
2_2010_01_10,
2_2010_01_11,
2_2010_01_12,28.81
2_2010_01_13,
2_2010_01_14,
2_2010_01_15,24.57
2_2010_01_16,
2_2010_01_17,31.57
2_2010_01_18,
2_2010_01_19,30.83
2_2010_01_20,31.25
2_2010_01_21,31.47
2_2010_01_22,31.85
2_2010_01_23,31.57
2_2010_01_24,34.47
2_2010_01_25,30.51
2_2010_01_26,33.97
2_2010_01_27,32.95
2_2010_01_28,
2_2010_01_29,33.17
2_2010_01_30,31.47
2_2010_01_31,32.95
2_2010_02_01,
2_2010_02_02,34.35
2_2010_02_03,
2_2010_02_04,32.97
2_2010_02_05,33.99
2_2010_02_06,34.23
2_2010_02_07,35.67
2_2010_02_08,
2_2010_02_09,
2_2010_02_10,
2_2010_02_11,35.03
2_2010_02_12,
2_2010_02_13,36.19
2_2010_02_14,36.19
2_2010_02_15,33.71
2_2010_02_16,
2_2010_02_17,
2_2010_02_18,34.45
2_2010_02_19,
2_2010_02_20,34.83
2_2010_02_21,
2_2010_02_22,31.61
2_2010_02_23,39.39
2_2010_02_24,35.41
2_2010_02_25,39.23
2_2010_02_26,34.03
2_2010_02_27,41.05
2_2010_02_28,38.09
2_2010_03_01,41.71
2_2010_03_02,42.35
2_2010_03_03,41.03
2_2010_03_04,
2_2010_03_05,
2_2010_03_06,42.55
2_2010_03_07,39.03
2_2010_03_08,42.73
2_2010_03_09,41.47
2_2010_03_10,41.27
2_2010_03_11,
2_2010_03_12,37.53
2_2010_03_13,42.63
2_2010_03_14,39.29
2_2010_03_15,42.95
2_2010_03_16,36.11
2_2010_03_17,41.99
2_2010_03_18,43.53
2_2010_03_19,42.99
2_2010_03_20,47.85
2_2010_03_21,
2_2010_03_22,48.07
2_2010_03_23,40.13
2_2010_03_24,46.47
2_2010_03_25,47.09
2_2010_03_26,42.57
2_2010_03_27,
2_2010_03_28,40.41
2_2010_03_29,48.03
2_2010_03_30,38.15
2_2010_03_31,47.65
2_2010_04_01,44.73
2_2010_04_02,43.77
2_2010_04_03,47.39
2_2010_04_04,40.65
2_2010_04_05,49.27
2_2010_04_06,
2_2010_04_07,49.81
2_2010_04_08,
2_2010_04_09,
2_2010_04_10,38.35
2_2010_04_11,50.31
2_2010_04_12,53.31
2_2010_04_13,46.79
2_2010_04_14,
2_2010_04_15,43.61
2_2010_04_16,49.89
2_2010_04_17,44.09
2_2010_04_18,43.89
2_2010_04_19,48.63
2_2010_04_20,47.55
2_2010_04_21,55.05
2_2010_04_22,
2_2010_04_23,49.45
2_2010_04_24,
2_2010_04_25,49.65
2_2010_04_26,
2_2010_04_27,46.43
2_2010_04_28,49.95
2_2010_04_29,
2_2010_04_30,42.51
2_2010_05_01,
2_2010_05_02,
2_2010_05_03,
2_2010_05_04,41.67
2_2010_05_05,
2_2010_05_06,
2_2010_05_07,
2_2010_05_08,
2_2010_05_09,
2_2010_05_10,35.75
2_2010_05_11,41.03
2_2010_05_12,41.63
2_2010_05_13,42.39
2_2010_05_14,48.29
2_2010_05_15,33.25
2_2010_05_16,48.63
2_2010_05_17,
2_2010_05_18,45.57
2_2010_05_19,
2_2010_05_20,
2_2010_05_21,
2_2010_05_22,
2_2010_05_23,46.17
2_2010_05_24,
2_2010_05_25,
2_2010_05_26,
2_2010_05_27,30.83
2_2010_05_28,
2_2010_05_29,
2_2010_05_30,37.49
2_2010_05_31,
2_2010_06_01,37.85
2_2010_06_02,
2_2010_06_03,44.53
2_2010_06_04,43.69
2_2010_06_05,41.81
2_2010_06_06,
2_2010_06_07,
2_2010_06_08,
2_2010_06_09,
2_2010_06_10,46.75
2_2010_06_11,
2_2010_06_12,
2_2010_06_13,
2_2010_06_14,
2_2010_06_15,
2_2010_06_16,
2_2010_06_17,
2_2010_06_18,
2_2010_06_19,
2_2010_06_20,
2_2010_06_21,
2_2010_06_22,
2_2010_06_23,
2_2010_06_24,
2_2010_06_25,
2_2010_06_26,
2_2010_06_27,
2_2010_06_28,
2_2010_06_29,
2_2010_06_30,
2_2010_07_01,
2_2010_07_02,
2_2010_07_03,
2_2010_07_04,
2_2010_07_05,
2_2010_07_06,
2_2010_07_07,
2_2010_07_08,
2_2010_07_09,
2_2010_07_10,
2_2010_07_11,
2_2010_07_12,
2_2010_07_13,
2_2010_07_14,
2_2010_07_15,
2_2010_07_16,
2_2010_07_17,
2_2010_07_18,
2_2010_07_19,
2_2010_07_20,
2_2010_07_21,
2_2010_07_22,
2_2010_07_23,
2_2010_07_24,
2_2010_07_25,
2_2010_07_26,
2_2010_07_27,
2_2010_07_28,
2_2010_07_29,
2_2010_07_30,
2_2010_07_31,
2_2010_08_01,
2_2010_08_02,
2_2010_08_03,
2_2010_08_04,
2_2010_08_05,
2_2010_08_06,
2_2010_08_07,
2_2010_08_08,
2_2010_08_09,
2_2010_08_10,
2_2010_08_11,
2_2010_08_12,
2_2010_08_13,
2_2010_08_14,
2_2010_08_15,
2_2010_08_16,
2_2010_08_17,
2_2010_08_18,
2_2010_08_19,
2_2010_08_20,
2_2010_08_21,
2_2010_08_22,
2_2010_08_23,
2_2010_08_24,
2_2010_08_25,
2_2010_08_26,
2_2010_08_27,
2_2010_08_28,
2_2010_08_29,
2_2010_08_30,
2_2010_08_31,
2_2010_09_01,
2_2010_09_02,
2_2010_09_03,
2_2010_09_04,
2_2010_09_05,
2_2010_09_06,
2_2010_09_07,
2_2010_09_08,
2_2010_09_09,30.69
2_2010_09_10,
2_2010_09_11,
2_2010_09_12,
2_2010_09_13,
2_2010_09_14,
2_2010_09_15,
2_2010_09_16,
2_2010_09_17,
2_2010_09_18,
2_2010_09_19,
2_2010_09_20,
2_2010_09_21,
2_2010_09_22,
2_2010_09_23,31.25
2_2010_09_24,
2_2010_09_25,31.39
2_2010_09_26,
2_2010_09_27,
2_2010_09_28,32.89
2_2010_09_29,
2_2010_09_30,32.41
2_2010_10_01,
2_2010_10_02,
2_2010_10_03,
2_2010_10_04,
2_2010_10_05,32.37
2_2010_10_06,
2_2010_10_07,
2_2010_10_08,
2_2010_10_09,29.21
2_2010_10_10,28.91
2_2010_10_11,33.05
2_2010_10_12,33.29
2_2010_10_13,
2_2010_10_14,
2_2010_10_15,
2_2010_10_16,
2_2010_10_17,
2_2010_10_18,
2_2010_10_19,
2_2010_10_20,
2_2010_10_21,
2_2010_10_22,
2_2010_10_23,30.39
2_2010_10_24,
2_2010_10_25,33.45
2_2010_10_26,
2_2010_10_27,31.67
2_2010_10_28,32.89
2_2010_10_29,30.71
2_2010_10_30,32.71
2_2010_10_31,
2_2010_11_01,
2_2010_11_02,
2_2010_11_03,29.71
2_2010_11_04,31.01
2_2010_11_05,29.93
2_2010_11_06,
2_2010_11_07,
2_2010_11_08,30.87
2_2010_11_09,
2_2010_11_10,31.05
2_2010_11_11,
2_2010_11_12,
2_2010_11_13,
2_2010_11_14,
2_2010_11_15,33.11
2_2010_11_16,
2_2010_11_17,32.51
2_2010_11_18,
2_2010_11_19,27.83
2_2010_11_20,
2_2010_11_21,29.03
2_2010_11_22,30.45
2_2010_11_23,28.07
2_2010_11_24,31.21
2_2010_11_25,
2_2010_11_26,
2_2010_11_27,
2_2010_11_28,
2_2010_11_29,31.35
2_2010_11_30,
2_2010_12_01,29.77
2_2010_12_02,
2_2010_12_03,29.21
2_2010_12_04,
2_2010_12_05,24.03
2_2010_12_06,
2_2010_12_07,
2_2010_12_08,
2_2010_12_09,
2_2010_12_10,24.71
2_2010_12_11,
2_2010_12_12,
2_2010_12_13,
2_2010_12_14,24.47
2_2010_12_15,24.17
2_2010_12_16,24.73
2_2010_12_17,25.87
2_2010_12_18,
2_2010_12_19,26.61
2_2010_12_20,26.09
2_2010_12_21,26.75
2_2010_12_22,26.25
2_2010_12_23,26.59
2_2010_12_24,28.07
2_2010_12_25,25.59
2_2010_12_26,26.85
2_2010_12_27,
2_2010_12_28,27.47
2_2010_12_29,27.87
2_2010_12_30,27.51
2_2010_12_31,
2_2011_01_01,
2_2011_01_02,27.09
2_2011_01_03,
2_2011_01_04,27.21
2_2011_01_05,
2_2011_01_06,26.95
2_2011_01_07,27.95
2_2011_01_08,26.75
2_2011_01_09,29.23
2_2011_01_10,25.93
2_2011_01_11,29.13
2_2011_01_12,
2_2011_01_13,29.97
2_2011_01_14,29.75
2_2011_01_15,30.43
2_2011_01_16,28.69
2_2011_01_17,25.11
2_2011_01_18,29.11
2_2011_01_19,
2_2011_01_20,29.21
2_2011_01_21,
2_2011_01_22,30.01
2_2011_01_23,31.83
2_2011_01_24,31.59
2_2011_01_25,33.05
2_2011_01_26,
2_2011_01_27,31.97
2_2011_01_28,
2_2011_01_29,
2_2011_01_30,
2_2011_01_31,27.07
2_2011_02_01,28.91
2_2011_02_02,28.39
2_2011_02_03,31.05
2_2011_02_04,
2_2011_02_05,31.47
2_2011_02_06,32.91
2_2011_02_07,36.15
2_2011_02_08,35.35
2_2011_02_09,32.97
2_2011_02_10,35.25
2_2011_02_11,32.17
2_2011_02_12,37.51
2_2011_02_13,33.87
2_2011_02_14,37.69
2_2011_02_15,37.35
2_2011_02_16,38.83
2_2011_02_17,
2_2011_02_18,
2_2011_02_19,
2_2011_02_20,
2_2011_02_21,
2_2011_02_22,33.43
2_2011_02_23,36.73
2_2011_02_24,
2_2011_02_25,
2_2011_02_26,
2_2011_02_27,34.99
2_2011_02_28,40.33
2_2011_03_01,38.03
2_2011_03_02,40.31
2_2011_03_03,38.67
2_2011_03_04,37.91
2_2011_03_05,
2_2011_03_06,39.67
2_2011_03_07,44.07
2_2011_03_08,
2_2011_03_09,44.15
2_2011_03_10,38.35
2_2011_03_11,37.11
2_2011_03_12,33.85
2_2011_03_13,35.63
2_2011_03_14,38.45
2_2011_03_15,34.47
2_2011_03_16,40.47
2_2011_03_17,33.01
2_2011_03_18,40.61
2_2011_03_19,41.27
2_2011_03_20,42.29
2_2011_03_21,42.09
2_2011_03_22,40.11
2_2011_03_23,44.97
2_2011_03_24,
2_2011_03_25,42.97
2_2011_03_26,
2_2011_03_27,
2_2011_03_28,
2_2011_03_29,42.55
2_2011_03_30,
2_2011_03_31,41.69
