Image ID,LST_Day_1km
2_2017_10_16,28.99
2_2017_10_24,29.11
2_2017_11_01,29.35
2_2017_11_09,27.93
2_2017_11_17,27.15
2_2017_11_25,25.87
2_2017_12_03,25.45
2_2017_12_11,25.03
2_2017_12_19,24.97
2_2017_12_27,24.83
2_2018_01_01,22.43
2_2018_01_09,21.21
2_2018_01_17,25.35
2_2018_01_25,25.67
2_2018_02_02,28.27
2_2018_02_10,29.57
2_2018_02_18,32.53
2_2018_02_26,35.35
2_2018_03_06,37.63
2_2018_03_14,37.55
2_2018_03_22,39.93
2_2018_03_30,35.23
2_2018_04_07,37.71
2_2018_04_15,42.09
2_2018_04_23,42.33
